[2026-04-12T18:40:39.247546+00:00] C4 EN files 128-255
  File 0128: 277 Crimea (tot:277 RU=6 UA=33 356,317docs 52s)
  File 0129: 262 Crimea (tot:539 RU=7 UA=55 712,634docs 100s)
  File 0130: 263 Crimea (tot:802 RU=12 UA=76 1,068,951docs 138s)
  File 0131: 287 Crimea (tot:1089 RU=15 UA=115 1,425,269docs 181s)
  File 0132: 291 Crimea (tot:1380 RU=18 UA=153 1,781,586docs 225s)
  File 0133: 257 Crimea (tot:1637 RU=21 UA=190 2,137,903docs 259s)
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0134: 297 Crimea (tot:1934 RU=25 UA=223 2,494,220docs 282s)
  File 0135: 267 Crimea (tot:2201 RU=28 UA=248 2,850,538docs 321s)
  File 0136: 266 Crimea (tot:2467 RU=33 UA=269 3,206,855docs 353s)
  File 0137: 262 Crimea (tot:2729 RU=35 UA=292 3,563,172docs 395s)
  File 0138: 276 Crimea (tot:3005 RU=35 UA=323 3,919,490docs 440s)
  File 0139: 292 Crimea (tot:3297 RU=38 UA=357 4,275,807docs 486s)
  File 0140: 278 Crimea (tot:3575 RU=40 UA=391 4,632,124docs 522s)
  File 0141: 318 Crimea (tot:3893 RU=46 UA=428 4,988,441docs 566s)
  File 0142: 267 Crimea (tot:4160 RU=48 UA=455 5,344,759docs 586s)
  File 0143: 283 Crimea (tot:4443 RU=51 UA=485 5,701,076docs 611s)
  File 0144: 287 Crimea (tot:4730 RU=56 UA=516 6,057,393docs 659s)
  File 0145: 300 Crimea (tot:5030 RU=60 UA=550 6,413,710docs 688s)
  File 0146: 292 Crimea (tot:5322 RU=61 UA=579 6,770,028docs 716s)
  File 0147: 271 Crimea (tot:5593 RU=63 UA=616 7,126,345docs 756s)
  File 0148: 256 Crimea (tot:5849 RU=63 UA=647 7,482,662docs 802s)
  File 0149: 260 Crimea (tot:6109 RU=66 UA=678 7,838,980docs 841s)
  File 0150: 284 Crimea (tot:6393 RU=69 UA=711 8,195,297docs 886s)
  File 0151: 277 Crimea (tot:6670 RU=73 UA=748 8,551,614docs 925s)
  File 0152: 312 Crimea (tot:6982 RU=79 UA=779 8,907,931docs 968s)
  File 0153: 302 Crimea (tot:7284 RU=82 UA=811 9,264,249docs 1015s)
  File 0154: 282 Crimea (tot:7566 RU=89 UA=836 9,620,566docs 1064s)
  File 0155: 267 Crimea (tot:7833 RU=93 UA=863 9,976,883docs 1096s)
  File 0156: 295 Crimea (tot:8128 RU=94 UA=891 10,333,201docs 1126s)
  File 0157: 282 Crimea (tot:8410 RU=96 UA=917 10,689,518docs 1156s)
  File 0158: 288 Crimea (tot:8698 RU=97 UA=956 11,045,835docs 1194s)
  File 0159: 261 Crimea (tot:8959 RU=101 UA=978 11,402,152docs 1242s)
  File 0160: 276 Crimea (tot:9235 RU=102 UA=1007 11,758,470docs 1279s)
  File 0161: 301 Crimea (tot:9536 RU=106 UA=1039 12,114,787docs 1308s)
  File 0162: 288 Crimea (tot:9824 RU=110 UA=1073 12,471,104docs 1349s)
  File 0163: 232 Crimea (tot:10056 RU=113 UA=1102 12,827,421docs 1379s)
  File 0164: 289 Crimea (tot:10345 RU=115 UA=1135 13,183,739docs 1422s)
  File 0165: 256 Crimea (tot:10601 RU=119 UA=1165 13,540,056docs 1469s)
  File 0166: 266 Crimea (tot:10867 RU=123 UA=1193 13,896,373docs 1570s)
  File 0167: 287 Crimea (tot:11154 RU=126 UA=1218 14,252,691docs 1604s)
  File 0168: 299 Crimea (tot:11453 RU=130 UA=1244 14,609,008docs 1643s)
  File 0169: 279 Crimea (tot:11732 RU=130 UA=1276 14,965,325docs 1690s)
  File 0170: 275 Crimea (tot:12007 RU=136 UA=1307 15,321,642docs 1749s)
  File 0171: 296 Crimea (tot:12303 RU=143 UA=1336 15,677,960docs 1790s)
  File 0172: 286 Crimea (tot:12589 RU=146 UA=1362 16,034,277docs 1841s)
  File 0173: 305 Crimea (tot:12894 RU=151 UA=1393 16,390,594docs 1899s)
  File 0174: 270 Crimea (tot:13164 RU=155 UA=1418 16,746,912docs 1947s)
  File 0175: 282 Crimea (tot:13446 RU=160 UA=1449 17,103,229docs 1980s)
  File 0176: 259 Crimea (tot:13705 RU=164 UA=1473 17,459,546docs 2009s)
  File 0177: 298 Crimea (tot:14003 RU=168 UA=1505 17,815,863docs 2037s)
  File 0178: 285 Crimea (tot:14288 RU=173 UA=1531 18,172,181docs 2068s)
  File 0179: 267 Crimea (tot:14555 RU=176 UA=1556 18,528,498docs 2121s)
  File 0180: 283 Crimea (tot:14838 RU=180 UA=1588 18,884,815docs 2163s)
  File 0181: 284 Crimea (tot:15122 RU=183 UA=1612 19,241,132docs 2210s)
  File 0182: 262 Crimea (tot:15384 RU=186 UA=1647 19,597,450docs 2251s)
  File 0183: 265 Crimea (tot:15649 RU=189 UA=1679 19,953,767docs 2277s)
  File 0184: 280 Crimea (tot:15929 RU=194 UA=1700 20,310,084docs 2321s)
  File 0185: 289 Crimea (tot:16218 RU=197 UA=1728 20,666,402docs 2367s)
  File 0186: 256 Crimea (tot:16474 RU=201 UA=1751 21,022,719docs 2666s)
  File 0187: 288 Crimea (tot:16762 RU=205 UA=1777 21,379,036docs 2704s)
  File 0188: 269 Crimea (tot:17031 RU=208 UA=1804 21,735,353docs 2754s)
  File 0189: 256 Crimea (tot:17287 RU=212 UA=1836 22,091,671docs 2828s)
  File 0190: 273 Crimea (tot:17560 RU=214 UA=1861 22,447,988docs 2878s)
  File 0191: 281 Crimea (tot:17841 RU=214 UA=1884 22,804,305docs 2922s)
  File 0192: 277 Crimea (tot:18118 RU=216 UA=1907 23,160,623docs 2952s)
  File 0193: 271 Crimea (tot:18389 RU=218 UA=1934 23,516,940docs 2976s)
  File 0194: 261 Crimea (tot:18650 RU=224 UA=1958 23,873,257docs 3002s)
  File 0195: 288 Crimea (tot:18938 RU=229 UA=1984 24,229,574docs 3023s)
  File 0196: 275 Crimea (tot:19213 RU=235 UA=2009 24,585,892docs 3058s)
  File 0197: 289 Crimea (tot:19502 RU=238 UA=2034 24,942,209docs 3103s)
  File 0198: 265 Crimea (tot:19767 RU=245 UA=2061 25,298,526docs 3143s)
  File 0199: 272 Crimea (tot:20039 RU=246 UA=2092 25,654,843docs 3192s)
  File 0200: 274 Crimea (tot:20313 RU=251 UA=2113 26,011,161docs 3250s)
  File 0201: 281 Crimea (tot:20594 RU=252 UA=2137 26,367,478docs 3290s)
  File 0202: 247 Crimea (tot:20841 RU=255 UA=2160 26,723,795docs 3336s)
  File 0203: 282 Crimea (tot:21123 RU=257 UA=2190 27,080,113docs 3387s)
  File 0204: 247 Crimea (tot:21370 RU=260 UA=2207 27,436,430docs 3434s)
  File 0205: 291 Crimea (tot:21661 RU=264 UA=2235 27,792,747docs 3474s)
  File 0206: 269 Crimea (tot:21930 RU=269 UA=2262 28,149,064docs 3515s)
  File 0207: 266 Crimea (tot:22196 RU=272 UA=2284 28,505,382docs 3555s)
  File 0208: 297 Crimea (tot:22493 RU=275 UA=2310 28,861,699docs 3581s)
