[2026-04-12T18:40:39.256191+00:00] C4 EN files 512-639
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0512: 276 Crimea (tot:276 RU=5 UA=28 356,317docs 50s)
  File 0513: 275 Crimea (tot:551 RU=7 UA=53 712,635docs 90s)
  File 0514: 293 Crimea (tot:844 RU=10 UA=80 1,068,952docs 137s)
  File 0515: 232 Crimea (tot:1076 RU=12 UA=106 1,425,269docs 180s)
  File 0516: 292 Crimea (tot:1368 RU=16 UA=130 1,781,586docs 222s)
  File 0517: 286 Crimea (tot:1654 RU=18 UA=158 2,137,904docs 268s)
  File 0518: 278 Crimea (tot:1932 RU=22 UA=182 2,494,221docs 316s)
  File 0519: 287 Crimea (tot:2219 RU=26 UA=206 2,850,538docs 359s)
  File 0520: 279 Crimea (tot:2498 RU=27 UA=236 3,206,855docs 397s)
  File 0521: 281 Crimea (tot:2779 RU=29 UA=265 3,563,173docs 441s)
  File 0522: 307 Crimea (tot:3086 RU=35 UA=299 3,919,490docs 480s)
  File 0523: 279 Crimea (tot:3365 RU=40 UA=328 4,275,807docs 524s)
  File 0524: 272 Crimea (tot:3637 RU=43 UA=351 4,632,125docs 570s)
  File 0525: 242 Crimea (tot:3879 RU=43 UA=382 4,988,442docs 614s)
  File 0526: 288 Crimea (tot:4167 RU=47 UA=408 5,344,759docs 667s)
  File 0527: 266 Crimea (tot:4433 RU=50 UA=432 5,701,076docs 708s)
  File 0528: 338 Crimea (tot:4771 RU=56 UA=462 6,057,394docs 757s)
  File 0529: 279 Crimea (tot:5050 RU=59 UA=495 6,413,711docs 794s)
  File 0530: 284 Crimea (tot:5334 RU=60 UA=519 6,770,028docs 843s)
  File 0531: 265 Crimea (tot:5599 RU=63 UA=550 7,126,346docs 893s)
  File 0532: 244 Crimea (tot:5843 RU=64 UA=570 7,482,663docs 930s)
  File 0533: 270 Crimea (tot:6113 RU=67 UA=586 7,838,980docs 977s)
  File 0534: 294 Crimea (tot:6407 RU=73 UA=613 8,195,297docs 1015s)
  File 0535: 267 Crimea (tot:6674 RU=80 UA=637 8,551,615docs 1070s)
  File 0536: 280 Crimea (tot:6954 RU=82 UA=657 8,907,932docs 1099s)
  File 0537: 283 Crimea (tot:7237 RU=88 UA=687 9,264,249docs 1132s)
  File 0538: 246 Crimea (tot:7483 RU=92 UA=714 9,620,566docs 1162s)
  File 0539: 287 Crimea (tot:7770 RU=96 UA=739 9,976,884docs 1195s)
  File 0540: 308 Crimea (tot:8078 RU=99 UA=768 10,333,201docs 1242s)
  File 0541: 264 Crimea (tot:8342 RU=101 UA=795 10,689,518docs 1280s)
  File 0542: 261 Crimea (tot:8603 RU=105 UA=818 11,045,836docs 1338s)
  File 0543: 247 Crimea (tot:8850 RU=108 UA=841 11,402,153docs 1379s)
  File 0544: 293 Crimea (tot:9143 RU=111 UA=866 11,758,470docs 1418s)
  File 0545: 272 Crimea (tot:9415 RU=114 UA=894 12,114,787docs 1443s)
  File 0546: 299 Crimea (tot:9714 RU=116 UA=926 12,471,105docs 1478s)
  File 0547: 300 Crimea (tot:10014 RU=119 UA=956 12,827,422docs 1588s)
  File 0548: 298 Crimea (tot:10312 RU=126 UA=986 13,183,739docs 1627s)
  File 0549: 271 Crimea (tot:10583 RU=131 UA=1011 13,540,057docs 1658s)
  File 0550: 277 Crimea (tot:10860 RU=135 UA=1038 13,896,374docs 1691s)
  File 0551: 287 Crimea (tot:11147 RU=139 UA=1063 14,252,691docs 1753s)
  File 0552: 273 Crimea (tot:11420 RU=144 UA=1090 14,609,008docs 1794s)
  File 0553: 289 Crimea (tot:11709 RU=147 UA=1116 14,965,326docs 1851s)
  File 0554: 258 Crimea (tot:11967 RU=149 UA=1140 15,321,643docs 1897s)
  File 0555: 276 Crimea (tot:12243 RU=154 UA=1160 15,677,960docs 1960s)
  File 0556: 306 Crimea (tot:12549 RU=158 UA=1199 16,034,277docs 2013s)
  File 0557: 257 Crimea (tot:12806 RU=165 UA=1219 16,390,595docs 2068s)
  File 0558: 268 Crimea (tot:13074 RU=169 UA=1245 16,746,912docs 2116s)
  File 0559: 267 Crimea (tot:13341 RU=171 UA=1266 17,103,229docs 2167s)
  File 0560: 273 Crimea (tot:13614 RU=176 UA=1307 17,459,547docs 2221s)
  File 0561: 254 Crimea (tot:13868 RU=179 UA=1329 17,815,864docs 2272s)
  File 0562: 293 Crimea (tot:14161 RU=184 UA=1355 18,172,181docs 2303s)
  File 0563: 304 Crimea (tot:14465 RU=190 UA=1385 18,528,498docs 2340s)
  File 0564: 266 Crimea (tot:14731 RU=193 UA=1411 18,884,816docs 2578s)
  File 0565: 282 Crimea (tot:15013 RU=196 UA=1444 19,241,133docs 2603s)
  File 0566: 257 Crimea (tot:15270 RU=200 UA=1470 19,597,450docs 2626s)
  File 0567: 236 Crimea (tot:15506 RU=205 UA=1493 19,953,768docs 2655s)
