[2026-04-12T18:40:39.255222+00:00] C4 EN files 768-895
  File 0768: 269 Crimea (tot:269 RU=3 UA=26 356,317docs 23s)
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  File 0769: 274 Crimea (tot:543 RU=7 UA=62 712,635docs 53s)
  File 0770: 296 Crimea (tot:839 RU=11 UA=93 1,068,952docs 92s)
  File 0771: 257 Crimea (tot:1096 RU=13 UA=119 1,425,269docs 138s)
  File 0772: 264 Crimea (tot:1360 RU=14 UA=140 1,781,586docs 182s)
  File 0773: 267 Crimea (tot:1627 RU=16 UA=167 2,137,904docs 224s)
  File 0774: 293 Crimea (tot:1920 RU=20 UA=195 2,494,221docs 268s)
  File 0775: 298 Crimea (tot:2218 RU=24 UA=226 2,850,538docs 294s)
  File 0776: 278 Crimea (tot:2496 RU=25 UA=247 3,206,855docs 330s)
  File 0777: 285 Crimea (tot:2781 RU=27 UA=278 3,563,173docs 358s)
  File 0778: 262 Crimea (tot:3043 RU=31 UA=297 3,919,490docs 385s)
  File 0779: 285 Crimea (tot:3328 RU=35 UA=331 4,275,807docs 406s)
  File 0780: 307 Crimea (tot:3635 RU=40 UA=361 4,632,125docs 441s)
  File 0781: 267 Crimea (tot:3902 RU=44 UA=390 4,988,442docs 482s)
  File 0782: 277 Crimea (tot:4179 RU=46 UA=416 5,344,759docs 525s)
  File 0783: 258 Crimea (tot:4437 RU=49 UA=448 5,701,076docs 567s)
  File 0784: 292 Crimea (tot:4729 RU=50 UA=480 6,057,394docs 611s)
  File 0785: 276 Crimea (tot:5005 RU=52 UA=507 6,413,711docs 662s)
  File 0786: 287 Crimea (tot:5292 RU=56 UA=543 6,770,028docs 708s)
  File 0787: 289 Crimea (tot:5581 RU=58 UA=564 7,126,346docs 756s)
  File 0788: 266 Crimea (tot:5847 RU=61 UA=601 7,482,663docs 806s)
  File 0789: 235 Crimea (tot:6082 RU=65 UA=619 7,838,980docs 841s)
  File 0790: 284 Crimea (tot:6366 RU=67 UA=648 8,195,297docs 887s)
  File 0791: 284 Crimea (tot:6650 RU=72 UA=674 8,551,615docs 928s)
  File 0792: 256 Crimea (tot:6906 RU=74 UA=703 8,907,932docs 977s)
  File 0793: 244 Crimea (tot:7150 RU=78 UA=726 9,264,249docs 1016s)
  File 0794: 267 Crimea (tot:7417 RU=83 UA=750 9,620,566docs 1041s)
  File 0795: 288 Crimea (tot:7705 RU=87 UA=773 9,976,884docs 1069s)
  File 0796: 267 Crimea (tot:7972 RU=91 UA=795 10,333,201docs 1114s)
  File 0797: 283 Crimea (tot:8255 RU=91 UA=817 10,689,518docs 1162s)
  File 0798: 304 Crimea (tot:8559 RU=94 UA=845 11,045,836docs 1198s)
  File 0799: 290 Crimea (tot:8849 RU=99 UA=888 11,402,153docs 1240s)
  File 0800: 255 Crimea (tot:9104 RU=102 UA=906 11,758,470docs 1291s)
  File 0801: 289 Crimea (tot:9393 RU=106 UA=927 12,114,787docs 1319s)
  File 0802: 254 Crimea (tot:9647 RU=109 UA=963 12,471,105docs 1347s)
  File 0803: 264 Crimea (tot:9911 RU=110 UA=993 12,827,422docs 1386s)
  File 0804: 265 Crimea (tot:10176 RU=111 UA=1026 13,183,739docs 1418s)
  File 0805: 308 Crimea (tot:10484 RU=112 UA=1054 13,540,057docs 1444s)
  File 0806: 252 Crimea (tot:10736 RU=112 UA=1086 13,896,374docs 1475s)
  File 0807: 277 Crimea (tot:11013 RU=113 UA=1117 14,252,691docs 1567s)
  File 0808: 265 Crimea (tot:11278 RU=116 UA=1141 14,609,008docs 1606s)
  File 0809: 286 Crimea (tot:11564 RU=121 UA=1175 14,965,326docs 1643s)
  File 0810: 283 Crimea (tot:11847 RU=124 UA=1197 15,321,643docs 1715s)
  File 0811: 279 Crimea (tot:12126 RU=125 UA=1226 15,677,960docs 1792s)
  File 0812: 273 Crimea (tot:12399 RU=126 UA=1262 16,034,277docs 1852s)
  File 0813: 282 Crimea (tot:12681 RU=130 UA=1300 16,390,595docs 1898s)
  File 0814: 264 Crimea (tot:12945 RU=135 UA=1326 16,746,912docs 1954s)
  File 0815: 276 Crimea (tot:13221 RU=138 UA=1360 17,103,229docs 2011s)
  File 0816: 255 Crimea (tot:13476 RU=139 UA=1394 17,459,547docs 2065s)
  File 0817: 280 Crimea (tot:13756 RU=140 UA=1425 17,815,864docs 2114s)
  File 0818: 276 Crimea (tot:14032 RU=145 UA=1452 18,172,181docs 2155s)
  File 0819: 274 Crimea (tot:14306 RU=149 UA=1487 18,528,498docs 2211s)
  File 0820: 268 Crimea (tot:14574 RU=150 UA=1515 18,884,816docs 2271s)
  File 0821: 278 Crimea (tot:14852 RU=151 UA=1541 19,241,133docs 2319s)
  File 0822: 305 Crimea (tot:15157 RU=156 UA=1569 19,597,450docs 2371s)
  File 0823: 273 Crimea (tot:15430 RU=158 UA=1598 19,953,768docs 2666s)
  File 0824: 287 Crimea (tot:15717 RU=162 UA=1627 20,310,085docs 2705s)
  File 0825: 251 Crimea (tot:15968 RU=165 UA=1642 20,666,402docs 2746s)
  File 0826: 264 Crimea (tot:16232 RU=167 UA=1666 21,022,719docs 2792s)
  File 0827: 258 Crimea (tot:16490 RU=170 UA=1698 21,379,037docs 2829s)
  File 0828: 285 Crimea (tot:16775 RU=176 UA=1720 21,735,354docs 2875s)
  File 0829: 273 Crimea (tot:17048 RU=183 UA=1752 22,091,671docs 2943s)
  File 0830: 278 Crimea (tot:17326 RU=188 UA=1775 22,447,988docs 3011s)
  File 0831: 291 Crimea (tot:17617 RU=194 UA=1801 22,804,306docs 3059s)
  File 0832: 283 Crimea (tot:17900 RU=197 UA=1834 23,160,623docs 3104s)
  File 0833: 266 Crimea (tot:18166 RU=201 UA=1869 23,516,940docs 3157s)
  File 0834: 251 Crimea (tot:18417 RU=203 UA=1894 23,873,258docs 3189s)
  File 0835: 296 Crimea (tot:18713 RU=207 UA=1922 24,229,575docs 3211s)
  File 0836: 280 Crimea (tot:18993 RU=210 UA=1947 24,585,892docs 3251s)
  File 0837: 289 Crimea (tot:19282 RU=220 UA=1980 24,942,209docs 3298s)
  File 0838: 254 Crimea (tot:19536 RU=221 UA=2007 25,298,527docs 3340s)
  File 0839: 285 Crimea (tot:19821 RU=224 UA=2037 25,654,844docs 3388s)
  File 0840: 284 Crimea (tot:20105 RU=226 UA=2067 26,011,161docs 3427s)
  File 0841: 269 Crimea (tot:20374 RU=226 UA=2095 26,367,479docs 3476s)
