#,doi,ru_score,c4_lang,url,openalex_url,doi_context,text_start,verified_ru_framing
1,10.15688/jvolsu3.2017.3.18,3.0,ru,https://ges.jvolsu.com/index.php/ru/archive-ru/387-science-journal-of-volsu-global-economic-system-2017-3-4/sotsialno-ekonomicheskoe-razvitie-regionov-v-usloviyakh-globalizatsii/1234-nekhajchuk-d-v-nekhajchuk-yu-s-k-voprosu-strategicheskogo-razvitiya-predpriyatij-pishchevoj-industrii,https://openalex.org/works/doi:10.15688/jvolsu3.2017.3.18,"Е РЕГИОНОВ В УСЛОВИЯХ ГЛОБАЛИЗАЦИИ Нехайчук Д.В., Нехайчук Ю.С. К ВОПРОСУ СТРАТЕГИЧЕСКОГО РАЗВИТИЯ ПРЕДПРИЯТИЙ ПИЩЕВОЙ ИНДУСТРИИ DOI: https://doi.org/10.15688/jvolsu3.2017.3.18 Дмитрий Валериевич Нехайчук доктор экономических наук, доцент, заведующий","Нехайчук Д.В., Нехайчук Ю.С. К ВОПРОСУ СТРАТЕГИЧЕСКОГО РАЗВИТИЯ ПРЕДПРИЯТИЙ ПИЩЕВОЙ ИНДУСТРИИ Вы здесь: Home Архив Science Journal of VolSU. Global Economic System. 2017. Vol. 19. №3 (40) СОЦИАЛЬНО-ЭК",
2,10.1016/j.cellsig.2006.02.012,2.5,ru,https://journal.nephrolog.ru/jour/article/view/364,https://openalex.org/works/doi:10.1016/j.cellsig.2006.02.012,"l WF, Abdulhussein R, Ford CE. Sensing extracellular matrix: an update on discoidin domain receptor function. Cell Signal 2006; 18(8):1108–1116. Doi: 10.1016/j.cellsig.2006.02.012 9. Alves F, Saupe S, Ledwon M et al. Identification of two novel, kina","СОДЕРЖАНИЕ РЕЦЕПТОРОВ КОЛЛАГЕНА DDR1 В СЫВОРОТКЕ КРОВИ ДЕТЕЙ, БОЛЬНЫХ ХРОНИЧЕСКИМ ПИЕЛОНЕФРИТОМ: СВЯЗЬ С НАРУШЕНИЕМ УРОДИНАМИКИ И МЕТАБОЛИЧЕСКИМИ РАССТРОЙСТВАМИ | Слободян | Нефрология Главная > Том 2",
3,10.1016/j.jmb.2006.12.073,2.5,ru,https://journal.nephrolog.ru/jour/article/view/364,https://openalex.org/works/doi:10.1016/j.jmb.2006.12.073,". PMID:9575136 6. Agarwal G Mihai C Iscru DF. Interaction of discoidin domain receptor 1 with collagen type 1. J Mol Biol 2007; 367(2): 443–455. DOI: 10.1016/j.jmb.2006.12.073 7. Meyer zum Gottesberge AM, Gross O, Becker-Lendzian U, et al. Inner ear ","СОДЕРЖАНИЕ РЕЦЕПТОРОВ КОЛЛАГЕНА DDR1 В СЫВОРОТКЕ КРОВИ ДЕТЕЙ, БОЛЬНЫХ ХРОНИЧЕСКИМ ПИЕЛОНЕФРИТОМ: СВЯЗЬ С НАРУШЕНИЕМ УРОДИНАМИКИ И МЕТАБОЛИЧЕСКИМИ РАССТРОЙСТВАМИ | Слободян | Нефрология Главная > Том 2",
4,10.24884/1561-6274-2018-22-3-43-50,2.5,ru,https://journal.nephrolog.ru/jour/article/view/364,https://openalex.org/works/doi:10.24884/1561-6274-2018-22-3-43-50,"ИТОМ: СВЯЗЬ С НАРУШЕНИЕМ УРОДИНАМИКИ И МЕТАБОЛИЧЕСКИМИ РАССТРОЙСТВАМИ | Слободян | Нефрология Главная > Том 22, № 3 (2018) > Слободян https://doi.org/10.24884/1561-6274-2018-22-3-43-50 хронический пиелонефрит, дети, обструктивная уропатия, дисметабол","СОДЕРЖАНИЕ РЕЦЕПТОРОВ КОЛЛАГЕНА DDR1 В СЫВОРОТКЕ КРОВИ ДЕТЕЙ, БОЛЬНЫХ ХРОНИЧЕСКИМ ПИЕЛОНЕФРИТОМ: СВЯЗЬ С НАРУШЕНИЕМ УРОДИНАМИКИ И МЕТАБОЛИЧЕСКИМИ РАССТРОЙСТВАМИ | Слободян | Нефрология Главная > Том 2",
5,10.7256/2454-0749.2018.1.25225,2.0,ru,http://nbpublish.com/library_read_article.php?id=25225,https://openalex.org/works/doi:10.7256/2454-0749.2018.1.25225,"еренция, проблема идентификации отклонений, Крымский федеральный университет, английские согласные, международный контактный язык, фонетическая норма 10.7256/2454-0749.2018.1.25225 The subject of the research is identification of deviations made by R","Маркированная артикуляция английских согласных в произношении русскоязычных студентов Мележик Карина Алексеевна заведующая кафедрой, Крымский федеральный университет им. В.И. Вернадского 95029, Россия",
6,10.1155/2017/8315972,1.5,ru,https://www.agronauka-sv.ru/jour/article/view/320,https://openalex.org/works/doi:10.1155/2017/8315972,"sive Resistance of the Ridger Inspired by a Boar’s Head. Applied Bionics and Biomechanics. 2017. Article ID 8315972, 10 p. 2017. DOI: https://doi.org/10.1155/2017/8315972. 8. Liu R., Yao J.H., Zhang Q.L., Collier R. Sliding wear and solid-particle er","Теоретические предпосылки к бионическому обоснованию параметров рабочих органов стерневого культиватора | Бабицкий | Аграрная наука Евро-Северо-Востока Главная > Том 20, № 2 (2019) > Бабицкий https://",
7,10.25136/2409-8698.2019.6.31620,1.5,ru,https://e-notabene.ru/fil/article_31620.html,https://openalex.org/works/doi:10.25136/2409-8698.2019.6.31620,ra' - NotaBene.ru Асанова Э.Р. — Романная серия Дэниела Силвы о Габриэле Аллоне: родо-жанровая природа // Litera. – 2019. – № 6. – С. 177 - 184. DOI: 10.25136/2409-8698.2019.6.31620 URL: https://nbpublish.com/library_read_article.php?id=31620 Романна,Статья 'Романная серия Дэниела Силвы о Габриэле Аллоне: родо-жанровая природа ' - журнал 'Litera' - NotaBene.ru Асанова Э.Р. — Романная серия Дэниела Силвы о Габриэле Аллоне: родо-жанровая природа // ,
8,10.25136/2409-8744.2017.4.23447,1.5,ru,https://e-notabene.ru/ca/article_23447.html,https://openalex.org/works/doi:10.25136/2409-8744.2017.4.23447,й школы Кугушева А.Ю. — Дискурс исторического пейзажа в визуальном тексте киммерийской школы // Человек и культура. – 2017. – № 4. – С. 80 - 87. DOI: 10.25136/2409-8744.2017.4.23447 URL: https://nbpublish.com/library_read_article.php?id=23447 аспиран,Дискурс исторического пейзажа в визуальном тексте киммерийской школы Кугушева А.Ю. — Дискурс исторического пейзажа в визуальном тексте киммерийской школы // Человек и культура. – 2017. – № 4. – С. 80 ,
9,10.30766/2072-9081.2019.20.2.183-191,1.5,ru,https://www.agronauka-sv.ru/jour/article/view/320,https://openalex.org/works/doi:10.30766/2072-9081.2019.20.2.183-191,"етров рабочих органов стерневого культиватора | Бабицкий | Аграрная наука Евро-Северо-Востока Главная > Том 20, № 2 (2019) > Бабицкий https://doi.org/10.30766/2072-9081.2019.20.2.183-191 рыхление почвы, биологический прототип, жук-скарабей, параметры","Теоретические предпосылки к бионическому обоснованию параметров рабочих органов стерневого культиватора | Бабицкий | Аграрная наука Евро-Северо-Востока Главная > Том 20, № 2 (2019) > Бабицкий https://",
10,10.15789/2220-7619-2019-3-4-589-594,1.0,ru,https://www.iimmun.ru/iimm/article/view/686/850,https://openalex.org/works/doi:10.15789/2220-7619-2019-3-4-589-594, обнаружению псориатического антигена как некоторого аналога инфекционных прионных белков. Инфекция и иммунитет. 2019;9(3-4):589-594. https://doi.org/10.15789/2220-7619-2019-3-4-589-594 Sinitsyn B.F. Detecting a psoriatic antigen analogous to infecti,"К обнаружению псориатического антигена как некоторого аналога инфекционных прионных белков | Синицын | Инфекция и иммунитет Главная > Том 9, № 3-4 (2019) > Синицын Синицын Б.Ф. К обнаружению псориатич",
