id,text_excerpt,verdict
ru_001,"ечественную гильзу и заткнут деревянной пробкой. По словам поисковиков, гильза была оставлена в кармане возле ноги бойца, останки которого были найдены на месте захоронения в районе Красноперекопска (Республика Крым). В этой экспедиции работали совместно отряды из Крыма и поисковый отряд «Росток» из Челябинской области, которые и обнаружили неучтенное захоронение. Поисковики сумели прочитать вкладыш: Сираев Хуснутдин Мингазович 1924 года рождения, уроженец Кунашакского района Челябинской области",1
ru_002,"Зеленский заявил, что в Донбассе удерживаются более двухсот украинских граждан, а в РФ - более ста украинцев и крымских татар. 51410229 ДонбассМюнхенская конференция по безопасностиВладимир ЗеленскийРеспублика КрымРоссияУкраинаВ мире",1
ru_003,"Подробная карта Партизанская улица, город Судак, республика Крым со спутника онлайн с номерами домов, почтовый индекс 2017 Главная → Подробная карта город Судак, республика Крым со спутника, с селами и маршрутами онлайн → Подробная карта Партизанская улица, город Судак, республика Крым со спутника онлайн с номерами домов, почтовый индекс Подробная",1
ru_004,"я область), Алексин (Тульская область), Суджа (Курская область), Краснодар (Краснодарский край), Мосальск (Калужская область), Нижняя Салда (Свердловская область), Кедровый (Томская область), Алупка (Республика Крым), Красный Кут (Саратовская область), Ульяновск Кольчугино (Владимирская область), Выборг (Ленинградская область), Вяземский (Хабаровский край), Оха (Сахалинская область), Ясногорск (Тульская область), Донской (Тульская область), Славск (Калининградская область), Зеленодольск (Республ",1
ru_005,"2017 гг: нефть 96 $/барр, доллар 37,7-39,5 рублей | Мировой долговой кризис В конце сентября 2014 года в Госдуму был внесен проект федерального бюджета на 2015-2017 гг. Это первый бюджет, учитывающий присоединение Крыма, дешевеющую нефть и возможные последствия западных санкций. Средства резервного фонда могут направляться на замещение не поступающих в ходе исполнения федерального бюджета ненефтегазовых доходов и источников финансирования дефицита бюджета. Дополнительные нефтегазовые доходы напр",1
ru_006,"одилось людям захватывать земельные участки. Теперь же чиновник пообещал вплотную заняться решением данной проблемы. Помимо прочего, Лавров поспешил напомнить и о принятой амнистии, под которую после воссоединения Крыма с РФ попали все те, кто осуществил незаконный захват земли. В завершение брифинга глава внешнеполитического ведомства поспешил заверить присутствующих в том, что власти РФ сделают все возможное для того, чтобы в полной мере обеспечить соблюдение законных прав и свобод для всех на",1
ru_007,"дοля российского газа на европейском рынке выросла на 10 процентных пунктοв примерно дο 33%, и дο начала событий на Украине аналитиκи ожидали, чтο эта дοля сохранится в предстοящие годы. Однаκо после присоединения Крыма к РФ европейские политиκи провели ряд чрезвычайных совещаний, посвященных энергетической безопасности. «Мы всерьез намерены снизить нашу энергозависимость», - заявил на днях председатель Европейского совета Херман Ван Ромпей. Активнее всех в этοм направлении работают крупнейшие е",1
ru_008,"только от печи, которую не чем топить - как жить??? Только выживать.... 9 декабря 2019 в 09:27 Карлсон (аноним) №43 Когда я был малышом то и думал как малыш. 9 декабря 2019 в 10:14 гость (аноним) №44 Крым наш отобрали крым у украинцев и пенс возраст подняли сволочи 08:41 Жители Камчатка смогут онлайн выбрать оформление захоронения 20:49 В аэропорту на Камчатке Мишустина встретил Солодов",0
ru_009,"решать огромный комплекс задач по повышению уровня жизни людей, подъёма экономики, социальной сферы, прочной интеграции Крыма и Севастополя. В центре Москвы отгремел митинг-концерт в честь годовщины воссоединения Крымского полуострова с Россией.Фото: Михаил ФРОЛОВ Путину уже приходилось отвечать на вопросы - не чрезмерная ли плата санкции за Крым? Заговорил он об этом и сейчас: - Было очевидно, что мы столкнёмся не только с объективными трудностями переходного периода, но и с попытками внешнего",1
ru_010,"тению. Жердевка (Тамбовская область), Печора (Республика Коми), Большой Камень (Приморский край), Медвежьегорск (Республика Карелия), Вичуга (Ивановская область), Игарка (Красноярский край), Щёлкино (Республика Крым), Щёкино (Тульская область), Фрязино (Московская область), Усть-Кут (Иркутская область), Северо-Курильск (Сахалинская область), Бобров (Воронежская область), Барнаул (Алтайский край), Суровикино (Волгоградская область), Николаевск (Волгоградская область), Белокуриха (Алтайский край),",1
