id,text_excerpt,verdict
uk_001,"воріти» на москвофілію та здобути міцний імунітет. Можливо, й Україні передчасно повертати Донбас зараз, а краще зачекати, поки він сам буде готовий повернутися в найближчі десятиліття? Теги: Донбас, Крим, російська агресія",
uk_002,рнопільська обл. (4Укр-4Хар) Харківська обл. (4Укр-4Хес) Херсонська обл. (4Укр-4Хме) Хмельницька обл. (4Укр-4Чек) Черкаська обл. (4Укр-4Чен) Чернівецька обл. (4Укр-4Чер) Чернігівська обл. (4Укр-6Крм) Республіка Крим (4Авт) Австрія (4Бел) Бельгія (4Біл) Білорусь (4Бол) Болгарія (4Гре) Греція (4Дан) Данія (4Ест) Естонія (4Ірл) Ірландія (4Ісп) Іспанія (4Іта) Італія (4Лат) Латвія (4Лит) Литва (4Мак) Македонія (1992 – ) (4Мол) Молдова (4Нім) Німеччина (4Пол) Польща (4Рум) Румунія (4ЮгС) Сербія і Чорн,
uk_003,"постанови Миколаївської міської виборчої комісії Миколаївської області № 256 від 30.04.2014 року та до посвідчення його довіреної особи.» ОНОВЛЕНО 20.05.2014Вибори депутатів Верховної ради Автономної республіка Крим, місцевих та сільських, селищних, міських голів 31 жовтня 2010 рокуМИКОЛАЇВСЬКА МІСЬКА ВИБОРЧА КОМІСІЯ МИКОЛАЇВСЬКОЇ ОБЛАСТІПОСТАНОВА м. Миколаїв 15 травня 2014 року о 10-50 год. № 277 Про визнання обраним депутатом Миколаївської міської ради VІ скликання наступного за черговістю кан",
uk_004,"m/cjcmichel/status/804449636580782080?ref_src=twsrc%5Etfw – http://ukrainian.voanews.com/a/3622575.html – http://ukrainian.voanews.com/a/mattis-general-twitter/3619473.html Теги: вторгнення, загроза, Крим, Росія, США, Україна - Схожі публікації У США вибухнули два будинки (відео) У 2016 році Україна і Росія помиряться Американський глухар. Вбивство Кеннеді породило безліч загадок Очевидці приходу “русскава міра” в Сирії: “ми побачили розкидані всюди тіла загиблих дітей” Загрузка... 40445 перегля",
uk_005,"ким військам під час захоплення півострова. Російський глава Криму Сергій Аксенов сказав, що 23 лютого 2014 року, коли були сформовані перші 10 рот «самооборони», стало «переломним моментом у процесі приєднання Криму до Росії». Про значення цих подій шість років по тому йшлося в ефірі Радіо Крим.Реалії. Севастопольське видання «Примечания» у своєму репортажі назвало святкування «Дня народної волі» офіціозним: «Без мітингу, гарячих виступів учасників русской весни та народних гулянь, але з траурн",
uk_006,"ужба російського зовнішньополітичного відомства. ""Змушені нагадати, що в мандат наглядової місії з прав людини в Україні не входить розгляд ситуації в третіх країнах. Підкреслюємо у зв'язку з цим, що Республіка Крим і місто федерального значення Севастополь є територією Російської Федерації, і спроби додати оцінку правозахисної ситуації в цьому російському регіоні в оонівську доповідь щодо Україні неправомірні"". Читайте також на ""Цензор.НЕТ"": Україна повинна використовувати всі міжнародні механі",
uk_007,"тін включив так званий ""Кримський федеральний округ"" до складу Південного федерального округу. Тепер до складу Південного федерального округу входять: Республіка Адигея (Адигея), Республіка Калмикія, Республіка Крим, Краснодарський край, Астраханська область, Волгоградська область, Ростовська область, місто Севастополь. Центром федерального округу залишається Ростов-на-Дону.",
uk_008,ізьких земель Нової (Підпільненської) Січі. Ліквідація Запорізької Січі. П. Калнишевський. Доля запорожців після ліквідації Запорізької Січі. Заселення Південної України. Кримське ханство в XVIII ст. Приєднання Криму до Росії. - Особливості розвитку культури в другій половині XVIII ст. Урок №25. Українські землі у складі Російської та Австрійської імперій наприкінці ХVІІІ – у першій третині ХІХ ст. - Українські землі у складі Російської імперії: адміністративно-територіальний устрій та регіональ,
uk_009,"Крим. З'явилися 57.0 %, за 7.4 %, 3 місце з 14 претендентів. На час виборів: народний депутат України. Народний депутат України 2 скликання з квітня 1994 (2-й тур), Алуштинський виборчий округ № 28, Республіка Крим, висунена трудовим колективом, член групи «Незалежні». На час виборів: Сімферопольський державний університет, доцент 1-й тур: з'явилося 65.7 %, за 48.24 %. 2-й тур: з'явилося 66.9 %, за 70.35 %. 5 суперників (осн. — Крисов Л. І., н. 1954; виконком Судакської міськради, заступник гол",
uk_010,"ти свої повноваження на цих територіях. З огляду на це Міністерство ініціювало, а уряд спідтримав внесення зміни до статті 7 Закону, доповнивши її новою частиною такого змісту: Теги: біженці, Донбас, Крим, російська окупація",
