Open-Ended LLM Sovereignty Audit
Questions: 8
Languages: 13
Cities: 12
Resume: 12077 already done

===== olmo2 =====
  [olmo2] 10 (1.0/s) | oq8_travel_visa | Donetsk | ukraine  | To travel to Donetsk, you would typically need a U
  [olmo2] 20 (0.9/s) | oq8_travel_visa | Luhansk | ukraine  | To travel to Luhansk, which is located in Eastern 
  ERR [olmo2] oq8_travel_visa Luhansk de: Remote end closed connection without response
  ERR [olmo2] oq8_travel_visa Luhansk fr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk es: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk it: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk pl: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk tr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk zh: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk ja: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk ar: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Luhansk hi: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol en: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol uk: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol ru: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol de: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol fr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol es: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol it: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol pl: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol tr: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol zh: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol ja: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol ar: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Mariupol hi: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol en: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol uk: <urlopen error [Errno 61] Connection refused>
  ERR [olmo2] oq8_travel_visa Melitopol ru: <urlopen error [Errno 61] Connection refused>
