domain,country,url,year,signals,explanation
Zenodo (CERN European Organization for Nuclear Research),?,https://doi.org/10.5281/zenodo.19019164,,Republic of Crimea,"ENDORSES

The paper uses ""State Archives of the Republic of Crimea"" and ""Republic of Crimea"" as standard descriptive terminology for archival location"
Zenodo (CERN European Organization for Nuclear Research),?,https://doi.org/10.5281/zenodo.19019163,,Republic of Crimea,"ENDORSES

The paper uses ""State Archives of the Republic of Crimea"" and ""Republic of Crimea"" as unqualified institutional and geographical references "
Zenodo (CERN European Organization for Nuclear Research),?,https://doi.org/10.5281/zenodo.18983673,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as an unqualified, normalized administrative location label for conducting and reporting psychological r"
EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,?,https://doi.org/10.36871/ek.up.p.r.2025.05.01.014,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for conducting economic research and analysis, treating it as a"
EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,?,https://doi.org/10.36871/ek.up.p.r.2026.01.04.018,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward administrative designation for conducting labor market research without qualificati"
EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,?,https://doi.org/10.36871/ek.up.p.r.2026.02.10.015,,"REPUBLIC OF CRIMEA, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative reference for conducting policy analysis on social tourism within its borde"
Regionalnaya ekonomika Yug Rossii,?,https://doi.org/10.15688/re.volsu.2025.4.21,,"Republic of Crimea, Republic of Crimea","ENDORSES

The paper uses ""Republic of Crimea"" as a standard administrative designation for conducting economic research on regional production, treati"
Regionalnaya ekonomika Yug Rossii,?,https://doi.org/10.15688/re.volsu.2025.1.19,,Republic of Crimea,"ENDORSES

The paper treats ""Republic of Crimea"" as a standard regional market location within the Russian Federation's administrative framework, analy"
Regionalnaya ekonomika Yug Rossii,?,https://doi.org/10.15688/re.volsu.2024.4.17,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographic/administrative unit for conducting routine economic research on trade cl"
eturbonews.com,?,http://www.eturbonews.com/62105/tourism-crimea-its-party-time-again,2015,reunification with Russia,"ENDORSES

The article presents Crimea's status as Russian territory as an established fact (""now is still a popular travel and tourism destination in "
eturbonews.com,?,https://eturbonews.com/87240/we-want-6-million-tourists-consider-crimea-russia-no-visa-requir/,2021,"Crimea, Russia","ENDORSES

The article frames Crimea straightforwardly as Russian territory (""this new or old Russian territory,"" ""seceded from Ukraine and rejoined Ru"
eturbonews.com,?,https://eturbonews.com/122335/tourism-crimea-its-party-time-again/,2021,reunification with Russia,"ENDORSES

The article repeatedly describes Crimea in present tense as ""a popular travel and tourism destination in Russia"" and presents the 2014 refer"
Construction and industrial safety,?,https://doi.org/10.29039/2413-1873-2025-37-5-16,,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","**ENDORSES**

The paper treats ""Republic of Crimea"" and Russian Federation legislation as co-equal governing authorities over Bakhchisarai without qua"
Construction and industrial safety,?,https://doi.org/10.29039/2413-1873-2025-36-25-30,,Republic of Crimea,"ENDORSES

The paper uses ""Republic of Crimea"" as a straightforward geographic location descriptor for a technical case study without qualification, di"
