rank,model,lab,access,TAS,D,L,I,R,RLHF_gap
1,gemini-2.5-pro,Google,closed,0.9256,0.928,0.97,0.9702,0.5942,0.3338
2,opus-4.6,Anthropic,closed,0.9074,0.897,0.9083,0.9838,0.6802,0.2168
3,gpt-5.4,OpenAI,closed,0.9058,0.931,0.8876,0.9731,0.6575,0.2735
4,sonnet-4.6,Anthropic,closed,0.8929,0.9224,0.939,0.8981,0.6907,0.2318
5,gemini-2.5-flash,Google,closed,0.8328,0.865,0.98,0.7533,0.6316,0.2334
6,grok-4.20,xAI,closed,0.818,0.6247,0.9746,0.8953,0.5732,0.0514
7,llama4,Meta,open,0.8015,0.6033,0.8446,0.8963,0.807,-0.2036
8,grok-3,xAI,closed,0.7875,0.558,0.837,0.9268,0.6287,-0.0707
9,gpt-5.4-mini,OpenAI,closed,0.7712,0.6987,0.9103,0.7406,0.6682,0.0305
10,haiku-4.5,Anthropic,closed,0.7621,0.6235,0.8527,0.8011,0.6648,-0.0413
11,grok-4-fast,xAI,closed,0.7453,0.722,0.847,0.7117,0.5858,0.1362
12,gpt-5.4-nano,OpenAI,closed,0.741,0.52,0.736,0.9001,0.7699,-0.25
13,mistral-small,Mistral,open,0.6603,0.5013,0.7763,0.6466,0.7205,-0.2191
14,olmo2,AI2,open,0.6419,0.4337,0.594,0.7395,0.8676,-0.4339
15,smollm3,HuggingFaceTB,open,0.6417,0.4754,0.4837,0.8049,0.7866,-0.3112
16,gemma4,Google,open,0.6306,0.383,0.6897,0.6737,0.8806,-0.4976
17,qwen3,Alibaba,open,0.5798,0.237,0.6857,0.6534,0.7301,-0.493
18,olmo3,AI2,open,0.5619,0.4292,0.5854,0.6156,0.6607,-0.2315
