year,term,frequency
1950,Russian Crimea,1.068919959490433e-09
1951,Russian Crimea,9.212280438486431e-10
1952,Russian Crimea,1.1156162799119684e-09
1953,Russian Crimea,9.860736294957967e-10
1954,Russian Crimea,1.0080880991081287e-09
1955,Russian Crimea,9.947196181826966e-10
1956,Russian Crimea,9.477624022892682e-10
1957,Russian Crimea,9.722488429421615e-10
1958,Russian Crimea,1.094873507333029e-09
1959,Russian Crimea,8.611391540323612e-10
1960,Russian Crimea,1.0126050276060283e-09
1961,Russian Crimea,1.0044686312874314e-09
1962,Russian Crimea,1.0137700322067543e-09
1963,Russian Crimea,9.85170116120569e-10
1964,Russian Crimea,1.117905256459955e-09
1965,Russian Crimea,1.107454156157317e-09
1966,Russian Crimea,1.1266769818694756e-09
1967,Russian Crimea,1.0800660603977568e-09
1968,Russian Crimea,1.0605327172008572e-09
1969,Russian Crimea,1.0140219061253016e-09
1970,Russian Crimea,1.0134392293613205e-09
1971,Russian Crimea,9.954407377753073e-10
1972,Russian Crimea,9.271265739257168e-10
1973,Russian Crimea,9.769918842193549e-10
1974,Russian Crimea,9.508612865337186e-10
1975,Russian Crimea,9.070484601509626e-10
1976,Russian Crimea,9.546687963966706e-10
1977,Russian Crimea,9.57164577756028e-10
1978,Russian Crimea,9.09404178945599e-10
1979,Russian Crimea,9.729449230404847e-10
1980,Russian Crimea,9.213692586662603e-10
1981,Russian Crimea,9.144194845767117e-10
1982,Russian Crimea,8.980979293582436e-10
1983,Russian Crimea,8.27875902751986e-10
1984,Russian Crimea,7.520647596745026e-10
1985,Russian Crimea,7.155907295291237e-10
1986,Russian Crimea,6.266848825589985e-10
1987,Russian Crimea,6.273946481386414e-10
1988,Russian Crimea,6.444856989354772e-10
1989,Russian Crimea,1.160514371109248e-09
1990,Russian Crimea,1.232309250674492e-09
1991,Russian Crimea,1.4430621340734616e-09
1992,Russian Crimea,1.5760173840576437e-09
1993,Russian Crimea,1.6145455052272796e-09
1994,Russian Crimea,1.6804451401825865e-09
1995,Russian Crimea,1.7077664758526267e-09
1996,Russian Crimea,1.3582014481348737e-09
1997,Russian Crimea,1.3122558198804972e-09
1998,Russian Crimea,1.1621072120477599e-09
1999,Russian Crimea,1.0704689753663184e-09
2000,Russian Crimea,1.1046908150141072e-09
2001,Russian Crimea,1.0478567140965416e-09
2002,Russian Crimea,1.0655109413829474e-09
2003,Russian Crimea,9.155438946655587e-10
2004,Russian Crimea,9.139247850572677e-10
2005,Russian Crimea,8.99477888996866e-10
2006,Russian Crimea,8.529342391102749e-10
2007,Russian Crimea,7.706798770585571e-10
2008,Russian Crimea,8.851952028519707e-10
2009,Russian Crimea,8.083547799385218e-10
2010,Russian Crimea,7.97661968223094e-10
2011,Russian Crimea,7.913028803636329e-10
2012,Russian Crimea,8.103367897329048e-10
2013,Russian Crimea,8.54865638595064e-10
2014,Russian Crimea,1.0308192712114662e-09
2015,Russian Crimea,9.950026516999548e-10
2016,Russian Crimea,1.0033574050970019e-09
2017,Russian Crimea,1.0569071728916413e-09
2018,Russian Crimea,1.0954373297344945e-09
2019,Russian Crimea,1.120618473016144e-09
1950,Ukrainian Crimea,0.0
1951,Ukrainian Crimea,0.0
1952,Ukrainian Crimea,0.0
1953,Ukrainian Crimea,0.0
1954,Ukrainian Crimea,0.0
1955,Ukrainian Crimea,0.0
1956,Ukrainian Crimea,0.0
1957,Ukrainian Crimea,0.0
1958,Ukrainian Crimea,0.0
1959,Ukrainian Crimea,0.0
1960,Ukrainian Crimea,0.0
1961,Ukrainian Crimea,0.0
1962,Ukrainian Crimea,0.0
1963,Ukrainian Crimea,0.0
1964,Ukrainian Crimea,0.0
1965,Ukrainian Crimea,8.38853589765368e-12
1966,Ukrainian Crimea,1.6759632372385725e-11
1967,Ukrainian Crimea,1.6759632372385725e-11
1968,Ukrainian Crimea,1.6759632372385725e-11
1969,Ukrainian Crimea,1.6759632372385725e-11
1970,Ukrainian Crimea,1.6759632372385725e-11
1971,Ukrainian Crimea,1.6759632372385725e-11
1972,Ukrainian Crimea,8.371096474732047e-12
1973,Ukrainian Crimea,0.0
1974,Ukrainian Crimea,0.0
1975,Ukrainian Crimea,0.0
1976,Ukrainian Crimea,0.0
1977,Ukrainian Crimea,0.0
1978,Ukrainian Crimea,0.0
1979,Ukrainian Crimea,0.0
1980,Ukrainian Crimea,0.0
1981,Ukrainian Crimea,0.0
1982,Ukrainian Crimea,0.0
1983,Ukrainian Crimea,0.0
1984,Ukrainian Crimea,0.0
1985,Ukrainian Crimea,0.0
1986,Ukrainian Crimea,6.570292425202493e-12
1987,Ukrainian Crimea,1.293262917391656e-11
1988,Ukrainian Crimea,2.6121154842303642e-11
1989,Ukrainian Crimea,1.4005775309363803e-10
1990,Ukrainian Crimea,1.5906372052842954e-10
1991,Ukrainian Crimea,2.403598966685802e-10
1992,Ukrainian Crimea,3.130346834919909e-10
1993,Ukrainian Crimea,3.309893425808484e-10
1994,Ukrainian Crimea,3.4320325748016245e-10
1995,Ukrainian Crimea,3.4826699064310114e-10
1996,Ukrainian Crimea,2.523371472091489e-10
1997,Ukrainian Crimea,2.4976160425563675e-10
1998,Ukrainian Crimea,1.959683903247316e-10
1999,Ukrainian Crimea,1.336189472559265e-10
2000,Ukrainian Crimea,1.3876247175113677e-10
2001,Ukrainian Crimea,1.3467715434930686e-10
2002,Ukrainian Crimea,1.2665441413904433e-10
2003,Ukrainian Crimea,1.2830761948943803e-10
2004,Ukrainian Crimea,1.6957688130687336e-10
2005,Ukrainian Crimea,1.4680730044323654e-10
2006,Ukrainian Crimea,1.5608418922420852e-10
2007,Ukrainian Crimea,1.3663362604031193e-10
2008,Ukrainian Crimea,1.2717418536906903e-10
2009,Ukrainian Crimea,1.485198952909185e-10
2010,Ukrainian Crimea,1.9511707378762543e-10
2011,Ukrainian Crimea,1.903310450714267e-10
2012,Ukrainian Crimea,3.0232415727606185e-10
2013,Ukrainian Crimea,4.150805012204106e-10
2014,Ukrainian Crimea,5.135295527108103e-10
2015,Ukrainian Crimea,6.169819080240454e-10
2016,Ukrainian Crimea,7.162882945507424e-10
2017,Ukrainian Crimea,7.583696818673028e-10
2018,Ukrainian Crimea,8.359644976252411e-10
2019,Ukrainian Crimea,8.406842583186247e-10
