year,term,frequency
1950,annexed Crimea,1.1332359182991691e-10
1951,annexed Crimea,1.7878163810491897e-10
1952,annexed Crimea,1.489846984207658e-10
1953,annexed Crimea,1.873633777888755e-10
1954,annexed Crimea,2.1496911691208454e-10
1955,annexed Crimea,2.100323436996351e-10
1956,annexed Crimea,2.1949314885480068e-10
1957,annexed Crimea,2.0341010225395044e-10
1958,annexed Crimea,1.7443192525311091e-10
1959,annexed Crimea,2.1742401926491287e-10
1960,annexed Crimea,1.6783386585268138e-10
1961,annexed Crimea,1.830533542206731e-10
1962,annexed Crimea,1.5548581469967563e-10
1963,annexed Crimea,1.3928156643900584e-10
1964,annexed Crimea,1.3928156643900584e-10
1965,annexed Crimea,1.1370344745108087e-10
1966,annexed Crimea,1.041957393382071e-10
1967,annexed Crimea,1.0254156353393741e-10
1968,annexed Crimea,8.501092984320685e-11
1969,annexed Crimea,1.3628926063110772e-10
1970,annexed Crimea,1.2686372488238514e-10
1971,annexed Crimea,1.2686372488238514e-10
1972,annexed Crimea,1.1847518898473146e-10
1973,annexed Crimea,1.5570765609413632e-10
1974,annexed Crimea,1.5504373876032825e-10
1975,annexed Crimea,1.4517125101238497e-10
1976,annexed Crimea,9.389292022448409e-11
1977,annexed Crimea,1.4734550781872865e-10
1978,annexed Crimea,1.5510727573362993e-10
1979,annexed Crimea,1.5510727573362993e-10
1980,annexed Crimea,1.0675422797740935e-10
1981,annexed Crimea,1.1351536427109795e-10
1982,annexed Crimea,1.3333678853493554e-10
1983,annexed Crimea,1.6149522641791973e-10
1984,annexed Crimea,1.0804263882367517e-10
1985,annexed Crimea,1.2781095031539584e-10
1986,annexed Crimea,1.4095153516580083e-10
1987,annexed Crimea,1.376747396641953e-10
1988,annexed Crimea,1.6931948006369624e-10
1989,annexed Crimea,1.530653827892208e-10
1990,annexed Crimea,1.3757758920191725e-10
1991,annexed Crimea,2.0011311357981398e-10
1992,annexed Crimea,2.0892042758489738e-10
1993,annexed Crimea,2.509609841367626e-10
1994,annexed Crimea,2.380660584341435e-10
1995,annexed Crimea,2.892515983676791e-10
1996,annexed Crimea,2.822666688678017e-10
1997,annexed Crimea,3.627017619776764e-10
1998,annexed Crimea,3.441709779275889e-10
1999,annexed Crimea,3.594603032889118e-10
2000,annexed Crimea,3.4878187689181747e-10
2001,annexed Crimea,3.8606259359998315e-10
2002,annexed Crimea,3.142910128579273e-10
2003,annexed Crimea,3.5143640775281426e-10
2004,annexed Crimea,3.112220481327199e-10
2005,annexed Crimea,3.00350978215442e-10
2006,annexed Crimea,2.977298407813578e-10
2007,annexed Crimea,2.992077339859987e-10
2008,annexed Crimea,3.060498679882276e-10
2009,annexed Crimea,2.962636852113906e-10
2010,annexed Crimea,2.860885744574279e-10
2011,annexed Crimea,6.38868566184479e-10
2012,annexed Crimea,2.118104173205142e-09
2013,annexed Crimea,3.8406672614058455e-09
2014,annexed Crimea,5.553115738077263e-09
2015,annexed Crimea,7.517500829176286e-09
2016,annexed Crimea,9.250767449683498e-09
2017,annexed Crimea,1.0747091439000656e-08
2018,annexed Crimea,1.232856980948327e-08
2019,annexed Crimea,1.2764066026349496e-08
1950,occupied Crimea,0.0
1951,occupied Crimea,0.0
1952,occupied Crimea,1.0437787671217318e-10
1953,occupied Crimea,1.0438230339606034e-10
1954,occupied Crimea,1.5959378164247846e-10
1955,occupied Crimea,3.112152430603413e-10
1956,occupied Crimea,3.240301350650375e-10
1957,occupied Crimea,3.240301350650375e-10
1958,occupied Crimea,3.240301350650375e-10
1959,occupied Crimea,2.7755547760926243e-10
1960,occupied Crimea,2.6263992568077907e-10
1961,occupied Crimea,2.0742844743436096e-10
1962,occupied Crimea,5.580698601649812e-11
1963,occupied Crimea,6.18431655092471e-11
1964,occupied Crimea,6.18431655092471e-11
1965,occupied Crimea,6.18431655092471e-11
1966,occupied Crimea,1.8851071497445152e-11
1967,occupied Crimea,2.7268949994877343e-11
1968,occupied Crimea,3.570048126170075e-11
1969,occupied Crimea,3.570048126170075e-11
1970,occupied Crimea,3.354117678044943e-11
1971,occupied Crimea,5.91055726187736e-11
1972,occupied Crimea,5.91055726187736e-11
1973,occupied Crimea,5.91055726187736e-11
1974,occupied Crimea,5.0687694121341413e-11
1975,occupied Crimea,5.767826890704494e-11
1976,occupied Crimea,7.296663174465629e-11
1977,occupied Crimea,7.918311542168662e-11
1978,occupied Crimea,8.466579124296762e-11
1979,occupied Crimea,1.0012666886081791e-10
1980,occupied Crimea,1.0758127028109854e-10
1981,occupied Crimea,1.2935391745833817e-10
1982,occupied Crimea,1.2802922412711937e-10
1983,occupied Crimea,1.1978047076025407e-10
1984,occupied Crimea,9.687222006702991e-11
1985,occupied Crimea,1.1400278885591903e-10
1986,occupied Crimea,1.182527890093115e-10
1987,occupied Crimea,1.489722070900447e-10
1988,occupied Crimea,1.6676513691796631e-10
1989,occupied Crimea,1.526677241966582e-10
1990,occupied Crimea,1.4562811472591212e-10
1991,occupied Crimea,1.5813521920498326e-10
1992,occupied Crimea,1.5840743399537464e-10
1993,occupied Crimea,2.000089360005524e-10
1994,occupied Crimea,1.6802700054742636e-10
1995,occupied Crimea,1.5279776798985242e-10
1996,occupied Crimea,1.6480227153186407e-10
1997,occupied Crimea,2.3052396945698129e-10
1998,occupied Crimea,2.290180500598625e-10
1999,occupied Crimea,2.476829292259135e-10
2000,occupied Crimea,2.3087326445466897e-10
2001,occupied Crimea,2.6815398116283463e-10
2002,occupied Crimea,2.745061915871665e-10
2003,occupied Crimea,3.0182160838070667e-10
2004,occupied Crimea,2.697580581531181e-10
2005,occupied Crimea,2.824237788079387e-10
2006,occupied Crimea,2.39811835072474e-10
2007,occupied Crimea,2.2596285755214852e-10
2008,occupied Crimea,2.1771051033387627e-10
2009,occupied Crimea,1.909688590298212e-10
2010,occupied Crimea,1.633413753956584e-10
2011,occupied Crimea,2.7960525487186986e-10
2012,occupied Crimea,5.401419938802102e-10
2013,occupied Crimea,8.770799218353411e-10
2014,occupied Crimea,1.3551851558098381e-09
2015,occupied Crimea,1.9037110868357673e-09
2016,occupied Crimea,2.381646495099231e-09
2017,occupied Crimea,2.7649464014641487e-09
2018,occupied Crimea,3.108044843713742e-09
2019,occupied Crimea,3.3876996763382294e-09
