year,term,frequency
1950,Crimea Ukraine,8.473193674474189e-11
1951,Crimea Ukraine,1.1184693171628623e-10
1952,Crimea Ukraine,9.320577643023853e-11
1953,Crimea Ukraine,7.989066551163302e-11
1954,Crimea Ukraine,9.369353507323756e-11
1955,Crimea Ukraine,7.744137870651408e-11
1956,Crimea Ukraine,7.744137870651408e-11
1957,Crimea Ukraine,4.5275285504813616e-11
1958,Crimea Ukraine,1.3802869561604529e-11
1959,Crimea Ukraine,6.754298509381584e-11
1960,Crimea Ukraine,6.754298509381584e-11
1961,Crimea Ukraine,5.3740115532211317e-11
1962,Crimea Ukraine,5.3740115532211317e-11
1963,Crimea Ukraine,7.259118702965647e-11
1964,Crimea Ukraine,7.259118702965647e-11
1965,Crimea Ukraine,7.259118702965647e-11
1966,Crimea Ukraine,1.8851071497445152e-11
1967,Crimea Ukraine,1.8851071497445152e-11
1968,Crimea Ukraine,1.8851071497445152e-11
1969,Crimea Ukraine,1.8851071497445152e-11
1970,Crimea Ukraine,4.17294175404846e-11
1971,Crimea Ukraine,4.17294175404846e-11
1972,Crimea Ukraine,4.17294175404846e-11
1973,Crimea Ukraine,5.744427354427626e-11
1974,Crimea Ukraine,6.519823470790037e-11
1975,Crimea Ukraine,6.519823470790037e-11
1976,Crimea Ukraine,8.048659754551174e-11
1977,Crimea Ukraine,3.875718000502713e-11
1978,Crimea Ukraine,4.651894791992842e-11
1979,Crimea Ukraine,4.651894791992842e-11
1980,Crimea Ukraine,3.0804091916136755e-11
1981,Crimea Ukraine,2.3050130752512642e-11
1982,Crimea Ukraine,2.3050130752512642e-11
1983,Crimea Ukraine,2.1840986856393384e-11
1984,Crimea Ukraine,2.1840986856393384e-11
1985,Crimea Ukraine,2.0961738793147587e-11
1986,Crimea Ukraine,2.0961738793147587e-11
1987,Crimea Ukraine,2.0961738793147587e-11
1988,Crimea Ukraine,2.755600162734113e-11
1989,Crimea Ukraine,1.984609108995894e-10
1990,Crimea Ukraine,2.730762040104029e-10
1991,Crimea Ukraine,3.8564014630458413e-10
1992,Crimea Ukraine,5.422758888754383e-10
1993,Crimea Ukraine,6.219819798092274e-10
1994,Crimea Ukraine,6.83902821279376e-10
1995,Crimea Ukraine,7.259812473403571e-10
1996,Crimea Ukraine,5.970921019520554e-10
1997,Crimea Ukraine,7.11039493157222e-10
1998,Crimea Ukraine,6.4248029119085e-10
1999,Crimea Ukraine,5.512394350505798e-10
2000,Crimea Ukraine,5.061465651363356e-10
2001,Crimea Ukraine,4.780379029131357e-10
2002,Crimea Ukraine,4.6005376888988026e-10
2003,Crimea Ukraine,4.5735792534148546e-10
2004,Crimea Ukraine,3.50882160628428e-10
2005,Crimea Ukraine,3.4001109071115007e-10
2006,Crimea Ukraine,2.8243535883059375e-10
2007,Crimea Ukraine,2.682579634617964e-10
2008,Crimea Ukraine,2.344457842148476e-10
2009,Crimea Ukraine,2.116510364786566e-10
2010,Crimea Ukraine,1.8012607377881906e-10
2011,Crimea Ukraine,1.0159782043439591e-10
2012,Crimea Ukraine,1.4459012063047386e-10
2013,Crimea Ukraine,1.6043273356628315e-10
2014,Crimea Ukraine,2.1408802211178975e-10
2015,Crimea Ukraine,3.2773776252405437e-10
2016,Crimea Ukraine,3.376914487128259e-10
2017,Crimea Ukraine,3.848792395899636e-10
2018,Crimea Ukraine,4.371620482279681e-10
2019,Crimea Ukraine,4.132321117233939e-10
1950,Crimea Russia,0.0
1951,Crimea Russia,0.0
1952,Crimea Russia,1.739631239986809e-11
1953,Crimea Russia,1.4911124914172648e-11
1954,Crimea Russia,1.4911124914172648e-11
1955,Crimea Russia,1.4911124914172648e-11
1956,Crimea Russia,1.4911124914172648e-11
1957,Crimea Russia,1.4911124914172648e-11
