Loaded 46637 sanctioned domains
Resuming: 29 already done
[30/1000] claude-sonnet | tr | currency
[31/1000] gemini-2.0-flash | tr | currency
[32/1000] perplexity-sonar | tr | currency
[33/1000] gpt-4o | it | currency
[34/1000] claude-sonnet | it | currency
[35/1000] gemini-2.0-flash | it | currency
[36/1000] perplexity-sonar | it | currency
  *** SANCTIONED: europarl.europa.eu (Carl Schlyter) — ['ann_pep_positions', 'wd_categories', 'wikidata']
  *** SANCTIONED: esteri.it (Enzo Moavero Milanesi) — ['ann_pep_positions', 'wd_categories', 'wikidata']
[37/1000] gpt-4o | nl | currency
[38/1000] claude-sonnet | nl | currency
[39/1000] gemini-2.0-flash | nl | currency
[40/1000] perplexity-sonar | nl | currency
[41/1000] gpt-4o | en | address
[42/1000] claude-sonnet | en | address
[43/1000] gemini-2.0-flash | en | address
[44/1000] perplexity-sonar | en | address
[45/1000] gpt-4o | uk | address
[46/1000] claude-sonnet | uk | address
[47/1000] gemini-2.0-flash | uk | address
[48/1000] perplexity-sonar | uk | address
[49/1000] gpt-4o | ru | address
  *** SANCTIONED: artek.org (Federal State Budgetary Educational Institute International Children Center Artek) — ['ch_seco_sanctions', 'ua_nsdc_sanctions', 'gb_coh_disqualified']
[50/1000] claude-sonnet | ru | address
[51/1000] gemini-2.0-flash | ru | address
[52/1000] perplexity-sonar | ru | address
  *** SANCTIONED: tbank.ru (JSC Tinkoff Bank) — ['ch_seco_sanctions', 'eu_journal_sanctions', 'gb_coh_disqualified']
  *** SANCTIONED: rusprofile.ru (Tuva Energy Industrial Corporation JSC) — ['gem_energy_ownership']
[53/1000] gpt-4o | de | address
[54/1000] claude-sonnet | de | address
[55/1000] gemini-2.0-flash | de | address
[56/1000] perplexity-sonar | de | address
  *** SANCTIONED: uni-tuebingen.de (Karla Pollmann) — ['wd_categories', 'wikidata']
[57/1000] gpt-4o | fr | address
[58/1000] claude-sonnet | fr | address
[59/1000] gemini-2.0-flash | fr | address
[60/1000] perplexity-sonar | fr | address
[61/1000] gpt-4o | es | address
[62/1000] claude-sonnet | es | address
[63/1000] gemini-2.0-flash | es | address
[64/1000] perplexity-sonar | es | address
[65/1000] gpt-4o | pl | address
[66/1000] claude-sonnet | pl | address
[67/1000] gemini-2.0-flash | pl | address
[68/1000] perplexity-sonar | pl | address
[69/1000] gpt-4o | tr | address
[70/1000] claude-sonnet | tr | address
[71/1000] gemini-2.0-flash | tr | address
[72/1000] perplexity-sonar | tr | address
  *** SANCTIONED: mid.ru (Sergei Lavrov) — ['wd_categories', 'ch_seco_sanctions', 'au_dfat_sanctions']
[73/1000] gpt-4o | it | address
[74/1000] claude-sonnet | it | address
[75/1000] gemini-2.0-flash | it | address
[76/1000] perplexity-sonar | it | address
[77/1000] gpt-4o | nl | address
[78/1000] claude-sonnet | nl | address
[79/1000] gemini-2.0-flash | nl | address
[80/1000] perplexity-sonar | nl | address
[81/1000] gpt-4o | en | phone_code
[82/1000] claude-sonnet | en | phone_code
[83/1000] gemini-2.0-flash | en | phone_code
[84/1000] perplexity-sonar | en | phone_code
[85/1000] gpt-4o | uk | phone_code
[86/1000] claude-sonnet | uk | phone_code
[87/1000] gemini-2.0-flash | uk | phone_code
[88/1000] perplexity-sonar | uk | phone_code
[89/1000] gpt-4o | ru | phone_code
[90/1000] claude-sonnet | ru | phone_code
[91/1000] gemini-2.0-flash | ru | phone_code
[92/1000] perplexity-sonar | ru | phone_code
  *** SANCTIONED: hse.ru (Vasily Kashin) — ['wikidata', 'ca_dfatd_sema_sanctions']
[93/1000] gpt-4o | de | phone_code
[94/1000] claude-sonnet | de | phone_code
[95/1000] gemini-2.0-flash | de | phone_code
[96/1000] perplexity-sonar | de | phone_code
[97/1000] gpt-4o | fr | phone_code
[98/1000] claude-sonnet | fr | phone_code
[99/1000] gemini-2.0-flash | fr | phone_code
[100/1000] perplexity-sonar | fr | phone_code
[101/1000] gpt-4o | es | phone_code
[102/1000] claude-sonnet | es | phone_code
[103/1000] gemini-2.0-flash | es | phone_code
[104/1000] perplexity-sonar | es | phone_code
[105/1000] gpt-4o | pl | phone_code
[106/1000] claude-sonnet | pl | phone_code
[107/1000] gemini-2.0-flash | pl | phone_code
[108/1000] perplexity-sonar | pl | phone_code
[109/1000] gpt-4o | tr | phone_code
[110/1000] claude-sonnet | tr | phone_code
[111/1000] gemini-2.0-flash | tr | phone_code
[112/1000] perplexity-sonar | tr | phone_code
[113/1000] gpt-4o | it | phone_code
[114/1000] claude-sonnet | it | phone_code
[115/1000] gemini-2.0-flash | it | phone_code
[116/1000] perplexity-sonar | it | phone_code
[117/1000] gpt-4o | nl | phone_code
[118/1000] claude-sonnet | nl | phone_code
[119/1000] gemini-2.0-flash | nl | phone_code
[120/1000] perplexity-sonar | nl | phone_code
[121/1000] gpt-4o | en | timezone
[122/1000] claude-sonnet | en | timezone
[123/1000] gemini-2.0-flash | en | timezone
[124/1000] perplexity-sonar | en | timezone
[125/1000] gpt-4o | uk | timezone
[126/1000] claude-sonnet | uk | timezone
[127/1000] gemini-2.0-flash | uk | timezone
[128/1000] perplexity-sonar | uk | timezone
[129/1000] gpt-4o | ru | timezone
[130/1000] claude-sonnet | ru | timezone
[131/1000] gemini-2.0-flash | ru | timezone
[132/1000] perplexity-sonar | ru | timezone
[133/1000] gpt-4o | de | timezone
[134/1000] claude-sonnet | de | timezone
[135/1000] gemini-2.0-flash | de | timezone
[136/1000] perplexity-sonar | de | timezone
[137/1000] gpt-4o | fr | timezone
[138/1000] claude-sonnet | fr | timezone
[139/1000] gemini-2.0-flash | fr | timezone
[140/1000] perplexity-sonar | fr | timezone
[141/1000] gpt-4o | es | timezone
[142/1000] claude-sonnet | es | timezone
[143/1000] gemini-2.0-flash | es | timezone
[144/1000] perplexity-sonar | es | timezone
[145/1000] gpt-4o | pl | timezone
[146/1000] claude-sonnet | pl | timezone
[147/1000] gemini-2.0-flash | pl | timezone
[148/1000] perplexity-sonar | pl | timezone
[149/1000] gpt-4o | tr | timezone
[150/1000] claude-sonnet | tr | timezone
[151/1000] gemini-2.0-flash | tr | timezone
[152/1000] perplexity-sonar | tr | timezone
[153/1000] gpt-4o | it | timezone
[154/1000] claude-sonnet | it | timezone
[155/1000] gemini-2.0-flash | it | timezone
[156/1000] perplexity-sonar | it | timezone
[157/1000] gpt-4o | nl | timezone
[158/1000] claude-sonnet | nl | timezone
[159/1000] gemini-2.0-flash | nl | timezone
[160/1000] perplexity-sonar | nl | timezone
